Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
DEU,87.49,87.82,88.16,88.50,89.15,89.80,90.80,89.10,92.30,90.70,91.60,91.20
FRA,92.83,92.67,92.51,92.36,92.20,93.20,93.90,93.90,92.70,92.20,91.20,91.10
ISL,94.49,93.84,93.20,90.40,87.60,90.50,90.00,89.10,89.50,90.00,88.30,87.40
CHE,93.14,93.02,92.90,93.50,94.10,94.70,95.30,95.90,92.70,90.40,92.70,91.80
ISR,95.48,95.69,95.90,95.80,94.80,95.00,97.80,95.10,97.30,96.80,97.50,97.80
NLD,88.90,90.10,88.50,88.80,88.60,92.20,93.00,90.60,90.90,93.20,93.30,91.60
GBR,86.70,86.40,86.80,87.60,88.90,90.20,89.90,91.60,94.40,95.00,93.30,92.70
PRT,79.11,79.79,80.46,81.13,81.80,83.10,86.10,83.80,85.00,84.60,84.40,86.50
CHL,71.30,71.08,70.87,70.65,70.43,70.22,70.00,71.57,73.13,74.70,75.08,75.46
GRC,98.26,98.28,98.29,98.30,98.70,98.70,98.10,98.10,98.20,98.60,98.40,98.40
POL,85.83,86.50,86.80,87.10,87.40,91.20,91.20,92.10,92.80,92.50,93.30,93.20
NZL,89.93,90.25,90.58,90.90,91.22,91.55,91.88,92.20,92.52,92.85,93.17,93.50
ITA,85.90,87.90,87.50,88.20,92.30,92.70,92.40,93.70,93.80,95.10,95.10,94.60
SVN,83.25,83.90,84.55,85.20,85.85,86.50,87.70,85.60,88.80,87.30,87.10,90.40
FIN,79.50,79.90,81.90,78.20,91.20,91.30,88.40,93.00,91.10,91.50,91.00,89.50
MEX,64.70,79.60,79.30,79.10,78.90,78.70,78.40,80.68,82.97,85.25,87.53,89.82
JPN,51.61,51.00,51.20,51.40,51.60,50.27,48.93,47.60,46.90,46.20,45.50,44.89
KOR,56.98,56.50,58.22,59.95,61.68,63.40,61.97,60.53,59.10,60.40,51.80,51.70
TUR,64.61,67.07,69.54,72.00,77.33,82.67,88.00,91.20,92.00,90.50,90.90,91.70
ESP,86.61,87.50,87.20,86.90,92.90,94.30,94.50,93.40,95.10,93.70,95.60,96.40
AUT,94.56,94.34,94.13,93.91,93.70,95.10,94.50,95.10,93.80,93.50,93.70,92.20
SVK,85.50,86.30,87.10,87.90,88.70,89.50,90.00,91.30,93.90,92.90,95.30,94.30
USA,96.70,97.10,96.80,96.70,96.90,97.10,96.80,97.00,96.50,96.70,96.50,96.10
BEL,91.77,91.90,92.50,93.10,93.70,92.50,93.40,92.70,93.20,94.30,93.50,93.20
DNK,97.53,96.47,95.41,94.36,93.30,91.60,90.00,90.40,89.20,88.30,83.60,85.90
SWE,88.30,87.60,87.80,90.80,86.10,88.60,90.20,91.60,90.60,92.70,91.60,91.80
HUN,76.50,77.80,79.10,80.40,83.35,86.30,89.00,88.60,93.20,93.70,93.00,93.60
CZE,89.95,90.53,91.10,91.67,92.23,92.80,93.20,93.30,94.70,94.80,95.70,96.27
CAN,94.79,94.70,94.40,94.10,94.45,94.80,94.30,93.80,94.60,95.10,95.00,93.80
NOR,93.49,92.64,91.80,90.70,89.60,88.00,87.90,89.50,89.00,89.10,86.80,84.20
AUS,90.79,90.80,91.63,92.47,93.30,93.27,93.23,93.20,92.62,92.05,91.47,90.90
LUX,95.86,95.57,95.29,95.00,94.00,94.30,96.30,94.50,93.60,93.80,93.80,92.70
EST,84.47,84.63,84.79,84.94,85.10,87.50,85.60,88.40,91.00,87.70,87.50,86.20
IRL,92.80,93.10,93.40,94.70,96.00,95.50,95.00,95.30,95.50,94.90,95.60,96.10
