Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUT,30.56,31.44,32.33,33.21,34.10,37.10,39.20,41.30,38.20,42.00,38.80,40.30
HUN,17.50,16.17,14.83,13.50,10.90,8.30,10.40,7.80,15.00,14.00,11.50,12.20
BEL,51.38,51.10,50.17,49.23,48.30,47.00,50.20,50.40,50.50,48.80,47.40,48.30
SVN,16.60,17.30,18.00,18.70,19.40,20.10,22.10,24.50,25.30,25.60,26.10,24.30
PRT,6.89,7.31,7.74,8.17,8.60,7.70,8.40,8.00,9.70,10.80,11.60,11.60
NZL,81.80,82.00,82.20,82.40,82.60,82.80,83.00,83.20,83.40,83.60,83.80,84.00
MEX,34.40,39.50,43.40,43.20,43.00,42.80,42.70,44.08,45.47,46.85,48.23,49.62
CZE,29.07,28.23,27.40,23.30,19.20,15.10,16.30,18.00,17.80,19.60,20.50,19.90
GBR,56.50,54.40,56.00,57.10,56.90,55.50,58.00,59.50,58.20,58.80,60.60,59.50
KOR,27.51,27.40,25.02,22.65,20.27,17.90,23.40,28.90,34.40,32.70,29.70,26.30
AUS,65.72,66.30,66.63,66.97,67.30,67.67,68.03,68.40,69.32,70.25,71.18,72.10
LUX,35.15,36.30,37.45,38.60,41.50,44.80,42.00,44.90,44.90,44.60,48.40,47.80
USA,72.60,73.40,73.60,74.50,73.30,73.40,75.20,73.20,75.10,75.80,75.40,75.20
ITA,20.50,24.30,22.30,21.80,17.70,18.10,18.20,23.70,24.20,23.60,27.00,27.70
ISL,67.71,66.36,65.00,57.10,49.20,47.60,54.30,53.20,52.30,54.70,50.50,52.80
DNK,57.33,57.07,56.81,56.56,56.30,56.60,57.40,58.40,60.30,56.20,56.50,54.50
ESP,41.24,41.00,39.55,38.10,27.60,28.80,30.80,30.80,37.00,36.20,35.50,38.60
SWE,55.50,50.70,55.70,55.30,52.00,55.30,58.70,60.40,60.70,61.30,62.90,63.20
GRC,35.91,36.18,36.44,36.70,36.80,38.40,37.80,37.20,37.70,34.60,34.60,38.80
DEU,51.62,50.45,49.27,48.10,38.95,29.80,31.40,31.80,36.80,38.40,38.10,38.70
FRA,31.80,32.30,32.80,33.30,33.80,33.50,33.50,35.80,36.00,36.10,35.70,37.30
CHE,75.54,74.62,73.70,73.32,72.94,72.56,72.18,71.80,64.30,66.60,65.10,65.40
FIN,38.34,38.16,37.97,37.79,37.60,38.10,39.50,36.40,37.30,36.10,34.70,36.30
TUR,40.00,38.00,36.00,34.00,29.23,24.47,19.70,20.80,20.20,18.90,18.90,18.00
CHL,33.50,34.23,34.97,35.70,36.43,37.17,37.90,38.87,39.83,40.80,41.61,42.42
ISR,39.07,39.43,39.80,39.00,37.30,37.30,39.70,41.00,39.30,41.80,44.20,43.10
NOR,64.38,63.89,63.40,60.35,57.30,54.40,55.60,59.70,64.10,62.20,65.50,59.00
IRL,67.57,67.23,66.90,62.40,57.90,58.90,59.00,61.40,62.60,63.30,65.10,63.90
JPN,25.29,24.60,24.87,25.13,25.40,23.60,21.80,20.00,19.47,18.93,18.40,17.71
EST,12.50,12.60,12.70,12.80,12.90,14.20,12.90,13.30,12.90,13.70,15.00,13.60
SVK,3.93,4.97,6.00,7.03,8.07,9.10,6.50,7.70,12.10,12.90,14.30,15.30
CAN,69.62,70.30,71.75,73.20,73.35,73.50,74.00,74.50,74.80,75.50,75.60,77.10
POL,9.86,10.10,11.50,12.90,14.30,9.20,9.60,10.10,10.40,10.50,11.60,12.50
NLD,56.50,56.90,58.30,58.20,56.40,52.20,56.50,56.30,58.50,58.00,58.00,57.70
