Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
KOR,3.09,3.20,3.28,3.35,3.42,3.50,3.70,3.90,3.70,3.80,4.10,4.30
AUS,18.13,19.05,19.98,20.90,21.83,22.75,23.68,24.60,25.52,26.45,27.38,28.30
GBR,21.00,22.00,23.00,23.00,23.00,23.00,24.00,24.00,24.50,23.00,26.10,24.80
CHL,24.20,24.30,24.40,24.50,24.60,24.70,24.80,24.90,25.00,25.10,25.20,25.30
USA,30.70,30.95,31.20,32.10,33.00,34.20,35.40,34.95,34.50,35.50,36.50,37.08
JPN,2.90,3.20,3.60,3.20,3.00,3.90,3.40,3.30,3.40,3.90,3.50,4.10
HUN,28.50,28.50,28.50,28.50,28.50,28.50,28.50,28.50,28.50,28.50,28.50,28.50
CZE,14.00,14.60,15.20,15.80,16.40,17.00,18.67,20.33,22.00,21.50,21.00,21.70
LUX,16.30,17.90,17.30,18.40,18.20,18.60,20.40,20.00,20.30,22.10,22.50,23.50
NZL,23.60,24.07,24.53,25.00,25.38,25.75,26.12,26.50,27.15,27.80,28.27,28.73
SVK,16.10,16.20,16.30,16.40,16.50,17.60,17.37,17.13,16.90,17.00,17.10,17.20
CAN,20.40,20.90,21.40,21.90,22.40,23.70,23.87,24.03,24.20,24.80,25.40,25.90
IRL,23.00,23.00,23.00,23.00,23.00,23.00,23.00,23.00,23.00,23.00,23.00,23.00
FIN,20.20,20.20,20.20,20.20,20.20,20.20,20.20,20.20,20.20,20.20,20.20,20.20
MEX,24.20,25.40,26.60,27.80,29.00,30.20,30.00,30.97,31.93,32.90,33.87,34.83
