Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
NOR,7.33,7.67,8.00,8.33,8.67,9.00,9.33,9.67,10.00,10.33,10.67,11.00
DNK,9.50,9.88,10.26,10.64,11.02,11.40,11.80,12.20,12.60,13.00,13.40,13.79
CZE,13.93,14.37,14.80,15.23,15.67,16.10,16.53,16.97,17.40,17.83,18.27,18.70
TUR,9.90,10.60,11.30,12.00,12.64,13.28,13.92,14.56,15.20,16.05,16.90,17.60
CHL,2.50,3.32,4.13,4.95,5.77,6.58,7.40,8.97,10.53,12.10,13.17,14.23
USA,21.70,22.80,23.90,23.50,24.20,25.10,26.00,26.40,27.60,27.70,28.10,28.50
DEU,12.00,12.30,12.60,12.90,13.25,13.60,13.88,14.15,14.43,14.70,15.00,15.30
ITA,8.60,8.50,8.50,9.00,9.45,9.90,10.20,9.90,9.90,10.30,10.30,10.00
ISR,11.70,12.10,12.50,12.35,12.20,12.15,12.10,12.95,13.80,14.75,15.70,16.10
SWE,9.20,9.20,10.30,9.80,9.90,10.90,9.00,10.60,10.30,10.90,11.30,11.00
NLD,9.40,9.30,9.70,10.70,10.90,10.70,11.30,11.20,11.10,11.80,11.40,11.40
POL,9.86,10.52,11.18,11.84,12.50,13.16,13.82,14.48,15.14,15.80,16.46,17.12
AUS,15.47,16.30,16.87,17.43,18.00,19.10,20.20,21.30,22.13,22.97,23.80,24.63
ESP,12.20,12.60,12.85,13.10,13.70,14.30,14.90,15.27,15.63,16.00,16.30,16.60
BEL,11.86,12.10,12.30,12.50,12.70,12.98,13.25,13.52,13.80,14.04,14.29,14.53
ISL,10.25,11.32,12.40,13.94,15.48,17.02,18.56,20.10,20.40,20.70,21.00,22.08
EST,14.10,13.90,13.70,14.10,14.50,15.20,15.90,16.95,18.00,17.45,16.90,17.18
SVK,15.55,15.50,15.45,15.40,15.35,15.30,15.25,15.20,15.15,15.10,15.05,15.00
FIN,11.20,11.40,11.80,12.80,14.00,14.10,14.30,14.90,15.70,14.90,15.60,16.60
CAN,14.51,14.80,14.80,14.80,15.00,15.20,15.70,16.20,16.60,17.20,17.50,17.70
FRA,9.00,9.20,9.40,9.40,9.40,9.95,10.50,10.85,11.20,12.05,12.90,13.29
IRL,15.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00
CHE,7.54,7.62,7.70,7.78,7.86,7.94,8.02,8.10,8.18,8.26,8.34,8.42
HUN,18.20,18.40,18.60,18.80,19.00,19.20,19.40,19.60,19.80,20.00,20.20,20.40
