Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
HUN,30.30,30.30,30.30,30.30,30.30,30.30,30.30,30.30,30.30,30.30,30.30,30.30
JPN,17.90,18.20,19.40,18.50,17.50,17.70,18.10,16.90,17.20,17.30,17.90,17.90
GBR,33.80,32.90,33.70,32.60,33.90,32.10,31.90,32.00,32.00,32.80,31.70,32.50
CHL,32.25,32.40,32.55,32.70,32.85,33.00,33.15,33.30,33.45,33.60,33.75,33.90
IRL,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00
SVK,24.20,25.05,25.90,26.75,27.60,28.00,29.00,30.00,31.00,31.85,32.70,33.55
USA,28.10,27.75,27.40,27.55,27.70,26.30,24.90,26.55,28.20,28.00,27.80,27.77
MEX,35.80,35.96,36.12,36.28,36.44,36.60,37.40,37.67,37.93,38.20,38.47,38.73
LUX,24.20,24.60,25.10,25.20,26.70,25.40,26.30,25.60,25.40,29.20,29.20,28.30
NZL,26.95,27.60,28.25,28.90,29.33,29.75,30.17,30.60,31.70,32.80,33.45,34.10
CAN,29.73,29.55,29.37,29.18,29.00,28.40,29.20,30.00,30.80,29.35,27.90,27.72
FIN,31.30,31.30,31.30,31.30,31.30,31.30,31.30,31.30,31.30,31.30,31.30,31.30
AUS,36.25,35.50,34.75,34.00,33.25,32.50,31.75,31.00,30.25,29.50,28.75,28.00
CZE,27.00,27.40,27.80,28.20,28.60,29.00,28.67,28.33,28.00,28.00,28.00,28.10
KOR,24.87,24.70,24.48,24.25,24.02,23.80,23.25,22.70,21.80,22.40,21.00,23.00
