Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CHL,37.05,37.30,37.55,37.80,38.05,38.30,38.55,38.80,39.05,39.30,39.55,39.80
GBR,39.00,40.00,38.00,38.00,39.00,37.00,38.00,36.70,36.90,38.30,36.70,36.90
CZE,31.00,31.80,32.60,33.40,34.20,35.00,34.67,34.33,34.00,34.00,34.00,34.30
AUS,39.68,39.25,38.83,38.40,37.98,37.55,37.12,36.70,36.28,35.85,35.42,35.00
KOR,26.18,26.20,26.43,26.65,26.88,27.10,27.10,27.10,26.40,26.60,26.10,26.40
USA,33.50,34.00,34.50,34.00,33.50,32.90,32.30,33.05,33.80,33.35,32.90,32.84
MEX,38.10,38.30,38.50,38.70,38.90,39.10,39.50,39.73,39.97,40.20,40.43,40.67
CAN,35.20,35.00,34.80,34.60,34.40,34.10,34.67,35.23,35.80,34.50,33.20,33.00
SVK,32.60,32.85,33.10,33.35,33.60,34.00,34.20,34.40,34.60,34.85,35.10,35.35
JPN,20.90,21.20,22.10,21.50,21.10,21.00,21.80,21.50,20.80,21.20,21.80,21.40
LUX,33.80,33.90,34.20,34.40,34.50,34.60,34.20,34.70,34.40,36.60,36.70,36.70
NZL,34.75,35.00,35.25,35.50,35.67,35.85,36.03,36.20,36.60,37.00,37.25,37.50
