Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
USA,35.80,36.10,35.40,36.20,35.60,35.60,35.00,35.50,35.00,35.80,35.00,34.70
AUT,35.30,35.30,35.30,35.30,35.30,35.30,35.30,35.30,35.30,35.30,35.30,35.30
ESP,35.66,35.70,35.50,35.30,35.60,35.90,36.20,36.70,37.20,37.70,36.90,36.10
ISR,30.23,30.61,31.00,31.50,32.00,32.00,32.00,32.95,33.90,34.00,34.10,34.49
IRL,31.80,32.40,33.00,33.60,34.20,34.80,35.40,36.00,36.60,37.20,37.80,38.40
SVK,30.45,31.03,31.62,32.20,32.78,33.37,33.95,34.53,35.12,35.70,36.28,36.87
GRC,46.90,45.97,45.03,44.10,43.17,42.23,41.30,41.00,40.70,38.50,37.57,36.63
SVN,38.70,38.70,38.70,38.70,38.70,38.70,38.70,38.70,38.70,38.70,38.70,38.70
ISL,35.50,35.70,35.90,36.74,37.58,38.42,39.26,40.10,39.23,38.37,37.50,37.70
ITA,32.50,33.90,33.50,33.60,34.15,34.70,35.00,35.60,35.60,36.10,35.60,35.80
FIN,32.20,32.70,33.50,32.20,31.30,35.00,33.40,34.00,33.10,34.40,34.10,34.10
CAN,33.46,33.40,33.95,34.50,33.75,33.00,32.95,32.90,32.80,32.80,33.20,32.80
CZE,36.00,36.10,36.20,36.30,36.40,36.50,36.60,36.70,36.80,36.90,37.00,37.10
DNK,32.30,32.48,32.66,32.84,33.02,33.20,33.22,33.24,33.26,33.28,33.30,33.40
FRA,27.20,27.65,28.10,26.70,25.30,25.90,26.50,26.75,27.00,28.45,29.90,30.17
DEU,36.10,36.17,36.23,36.30,36.15,36.00,36.17,36.35,36.53,36.70,36.77,36.83
BEL,32.30,32.40,32.07,31.73,31.40,31.82,32.25,32.67,33.10,33.20,33.30,33.40
AUS,33.55,33.70,34.30,34.90,35.50,35.20,34.90,34.60,34.75,34.90,35.05,35.20
HUN,33.20,33.47,33.73,34.00,34.02,34.03,34.05,34.07,34.08,34.10,34.20,34.30
KOR,15.33,15.87,16.40,16.93,17.47,18.00,18.53,19.07,19.60,20.30,20.60,21.20
SWE,33.50,33.50,34.40,33.30,33.00,33.40,34.40,34.00,34.70,34.50,35.10,35.30
NLD,34.70,35.50,35.10,35.40,35.60,34.20,35.20,34.30,35.70,35.40,36.80,36.80
NOR,33.67,33.83,34.00,34.00,34.00,34.00,34.33,34.67,35.00,35.17,35.33,35.50
CHL,31.00,32.52,34.03,35.55,37.07,38.58,40.10,41.20,42.30,43.40,44.78,46.16
TUR,31.00,31.20,31.40,31.60,31.76,31.92,32.08,32.24,32.40,32.70,33.00,33.20
CHE,29.48,29.44,29.40,29.36,29.32,29.28,29.24,29.20,29.16,29.12,29.08,29.04
POL,29.92,30.64,31.36,32.08,32.80,33.52,34.24,34.96,35.68,36.40,37.12,37.84
EST,27.80,28.35,28.90,28.80,28.70,29.65,30.60,31.10,31.60,31.65,31.70,32.09
PRT,36.20,36.20,36.20,36.20,36.20,36.20,36.20,36.20,36.20,36.20,36.20,36.20
