Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AUS,57.35,57.90,58.45,59.00,59.55,60.10,60.65,61.20,61.75,62.30,62.85,63.40
KOR,29.27,29.40,29.67,29.95,30.23,30.50,30.75,31.00,30.10,30.50,30.20,30.70
CHL,61.20,61.57,61.93,62.30,62.67,63.03,63.40,63.77,64.13,64.50,64.87,65.23
LUX,50.10,51.80,51.60,52.80,52.80,53.30,54.60,54.80,54.70,58.70,59.10,60.20
USA,64.30,65.00,65.70,66.15,66.60,67.15,67.70,68.00,68.30,68.85,69.40,69.91
CZE,45.00,46.40,47.80,49.20,50.60,52.00,53.33,54.67,56.00,55.50,55.00,56.00
NZL,58.40,59.10,59.80,60.50,61.03,61.55,62.07,62.60,63.65,64.70,65.40,66.10
MEX,62.30,63.70,65.10,66.50,67.90,69.30,69.50,65.60,65.10,65.45,65.80,66.15
SVK,48.70,49.05,49.40,49.75,50.10,51.60,51.57,51.53,51.50,51.85,52.20,52.55
JPN,23.80,24.40,25.70,24.70,24.00,24.90,25.10,24.80,24.20,25.10,25.30,25.50
CAN,55.60,55.90,56.20,56.50,56.80,57.70,58.47,59.23,60.00,59.30,58.60,58.90
GBR,60.00,62.00,61.00,61.00,62.00,60.00,62.00,60.70,61.40,61.30,62.80,61.70
