Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
GRC,61.70,61.03,60.37,59.70,59.03,58.37,57.70,58.30,58.90,55.70,55.03,54.37
TUR,40.61,41.54,42.47,43.40,44.24,45.08,45.92,46.76,47.60,48.75,49.90,50.83
SVN,55.10,55.10,55.10,55.10,55.10,55.10,55.10,55.10,55.10,55.10,55.10,55.10
SVK,46.00,46.53,47.07,47.60,48.13,48.67,49.20,49.73,50.27,50.80,51.33,51.87
IRL,46.80,47.40,48.00,48.60,49.20,49.80,50.40,51.00,51.60,52.20,52.80,53.40
ESP,47.86,48.30,48.35,48.40,49.30,50.20,51.10,51.97,52.83,53.70,53.20,52.70
EST,41.90,42.25,42.60,42.90,43.20,44.85,46.50,48.05,49.60,49.10,48.60,49.27
NOR,42.00,42.50,43.00,43.00,43.00,43.00,44.00,45.00,46.00,46.50,47.00,47.50
CZE,50.03,50.57,51.10,51.63,52.17,52.70,53.23,53.77,54.30,54.83,55.37,55.90
SWE,42.70,42.70,44.70,43.10,42.80,44.30,43.40,44.60,44.90,45.50,46.40,46.30
KOR,16.33,16.97,17.60,18.23,18.87,19.50,20.13,20.77,21.40,22.30,22.60,23.30
DEU,48.10,48.47,48.83,49.20,49.40,49.60,50.05,50.50,50.95,51.40,51.77,52.13
CHE,37.02,37.06,37.10,37.14,37.18,37.22,37.26,37.30,37.34,37.38,37.42,37.46
FRA,36.20,36.85,37.50,36.10,34.70,35.85,37.00,37.60,38.20,40.55,42.90,43.57
HUN,51.40,51.87,52.33,52.80,52.93,53.07,53.20,53.33,53.47,53.60,53.84,54.09
ISR,41.92,42.71,43.50,43.85,44.20,44.15,44.10,45.90,47.70,48.75,49.80,50.59
POL,39.78,41.16,42.54,43.92,45.30,46.68,48.06,49.44,50.82,52.20,53.58,54.96
BEL,44.16,44.50,44.37,44.23,44.10,44.80,45.50,46.20,46.90,47.24,47.59,47.93
PRT,51.60,51.60,51.60,51.60,51.60,51.60,51.60,51.60,51.60,51.60,51.60,51.60
NLD,44.10,44.80,44.80,46.10,46.50,44.90,46.50,45.50,46.90,47.20,48.20,48.20
AUT,47.70,47.70,47.70,47.70,47.70,47.70,47.70,47.70,47.70,47.70,47.70,47.70
CHL,33.60,35.90,38.20,40.50,42.80,45.10,47.40,50.10,52.80,55.50,57.93,60.37
ITA,41.10,42.40,42.00,42.60,43.60,44.60,45.10,45.50,45.50,46.30,46.00,45.80
ISL,45.75,47.02,48.30,50.68,53.06,55.44,57.82,60.20,59.63,59.07,58.50,59.78
DNK,41.70,42.28,42.86,43.44,44.02,44.60,45.02,45.44,45.86,46.28,46.70,47.20
AUS,49.00,50.00,51.17,52.33,53.50,54.33,55.17,56.00,57.00,58.00,59.00,60.00
CAN,47.97,48.20,48.80,49.40,48.80,48.20,48.65,49.10,49.50,50.00,50.60,50.50
FIN,43.40,44.10,45.30,45.00,45.30,49.20,47.70,48.90,48.80,49.30,49.70,50.80
USA,57.50,58.90,59.30,59.70,59.80,60.70,61.00,61.90,62.60,63.50,63.10,63.10
